"Step","eta: 0.041578947368421056 - alpha_estim","eta: 0.041578947368421056 - alpha_estim__MIN","eta: 0.041578947368421056 - alpha_estim__MAX","eta: 0.039473684210526314 - alpha_estim","eta: 0.039473684210526314 - alpha_estim__MIN","eta: 0.039473684210526314 - alpha_estim__MAX","eta: 0.03736842105263158 - alpha_estim","eta: 0.03736842105263158 - alpha_estim__MIN","eta: 0.03736842105263158 - alpha_estim__MAX","eta: 0.035263157894736843 - alpha_estim","eta: 0.035263157894736843 - alpha_estim__MIN","eta: 0.035263157894736843 - alpha_estim__MAX","eta: 0.03315789473684211 - alpha_estim","eta: 0.03315789473684211 - alpha_estim__MIN","eta: 0.03315789473684211 - alpha_estim__MAX","eta: 0.031052631578947366 - alpha_estim","eta: 0.031052631578947366 - alpha_estim__MIN","eta: 0.031052631578947366 - alpha_estim__MAX","eta: 0.02894736842105263 - alpha_estim","eta: 0.02894736842105263 - alpha_estim__MIN","eta: 0.02894736842105263 - alpha_estim__MAX","eta: 0.026842105263157896 - alpha_estim","eta: 0.026842105263157896 - alpha_estim__MIN","eta: 0.026842105263157896 - alpha_estim__MAX","eta: 0.02473684210526316 - alpha_estim","eta: 0.02473684210526316 - alpha_estim__MIN","eta: 0.02473684210526316 - alpha_estim__MAX","eta: 0.014210526315789474 - alpha_estim","eta: 0.014210526315789474 - alpha_estim__MIN","eta: 0.014210526315789474 - alpha_estim__MAX","eta: 0.02263157894736842 - alpha_estim","eta: 0.02263157894736842 - alpha_estim__MIN","eta: 0.02263157894736842 - alpha_estim__MAX","eta: 0.01842105263157895 - alpha_estim","eta: 0.01842105263157895 - alpha_estim__MIN","eta: 0.01842105263157895 - alpha_estim__MAX","eta: 0.01631578947368421 - alpha_estim","eta: 0.01631578947368421 - alpha_estim__MIN","eta: 0.01631578947368421 - alpha_estim__MAX","eta: 0.020526315789473684 - alpha_estim","eta: 0.020526315789473684 - alpha_estim__MIN","eta: 0.020526315789473684 - alpha_estim__MAX","eta: 0.012105263157894735 - alpha_estim","eta: 0.012105263157894735 - alpha_estim__MIN","eta: 0.012105263157894735 - alpha_estim__MAX","eta: 0.01 - alpha_estim","eta: 0.01 - alpha_estim__MIN","eta: 0.01 - alpha_estim__MAX","eta: 0.02 - alpha_estim","eta: 0.02 - alpha_estim__MIN","eta: 0.02 - alpha_estim__MAX"
"0","0.5507193803787231","0","1.1014387607574463","0.938922330737114","0.4632432162761688","1.1390466690063477","1.0147299647331238","0.8001287579536438","1.239668607711792","1.121530145406723","0.9596121907234192","1.2547237873077393","1.220160722732544","1.0838959217071533","1.354768991470337","1.30913907289505","1.0715548992156982","1.4434239864349365","1.3919922947883605","1.24712073802948","1.5054075717926025","1.5534613728523254","1.4919357299804688","1.6231752634048462","1.6636341691017151","1.5416487455368042","1.744895339012146","1.6597007632255554","1.5390448570251465","1.7836260795593262","1.6864535331726074","1.6131500005722046","1.764447808265686","1.7216948866844177","1.6322778463363647","1.850931167602539","1.674602222442627","1.6034905910491943","1.7494698762893677","1.7227567553520202","1.6841504573822021","1.8237448930740356","1.640811038017273","1.5265341997146606","1.7012547254562378","1.6382607546719639","1.5265381336212158","1.7337969541549683","1.7362151145935059","1.7362151145935059","1.7362151145935059"
"1","0.8804974555969238","0.8804974555969238","0.8804974555969238","0.9320134401321412","0.678809404373169","1.1679738759994507","1.017166018486023","0.814624547958374","1.2752275466918945","1.1536134779453278","0.8484302163124084","1.3361177444458008","1.2431248068809508","1.048165202140808","1.3252825736999512","1.32711341381073","1.2213938236236572","1.4718862771987915","1.52636638879776","1.404775857925415","1.6113454103469849","1.6217080950737","1.4942495822906494","1.6565077304840088","1.7548599720001221","1.6495063304901123","1.8343793153762817","1.9366848111152648","1.8931866884231567","1.9797406196594238","1.872018301486969","1.834926962852478","1.924967646598816","1.9526040434837342","1.9088149070739746","2.1029677391052246","1.9458861112594605","1.906368374824524","1.9817190170288086","1.916486144065857","1.8739221096038818","1.952181100845337","1.9201253056526184","1.8720606565475464","1.99443781375885","1.9246676835146816","1.883758544921875","2.0034518241882324","1.8841983079910278","1.8841983079910278","1.8841983079910278"
"2","","","","0.8719984233379364","0.6982131600379944","1.0524832010269165","0.954187947511673","0.7359616160392761","1.1349555253982544","1.1186809420585633","0.880537748336792","1.3285868167877197","1.2828709483146667","1.1624606847763062","1.4942137002944946","1.4248281598091126","1.2705469131469727","1.5350499153137207","1.5551684379577637","1.4735435247421265","1.6286038160324097","1.6682306408882142","1.5697097778320312","1.7088892459869385","1.7719724297523498","1.730639100074768","1.8175451755523682","1.946147084236145","1.867409110069275","2.013667345046997","1.8716556549072265","1.8275474309921265","1.8971151113510132","1.9576529264450073","1.8825340270996094","2.062929153442383","1.9309843182563782","1.8385119438171387","2.0263259410858154","1.924845814704895","1.9024505615234375","1.963617205619812","1.9557343244552612","1.8633034229278564","2.0311174392700195","1.9636081673882224","1.8412320613861084","2.054812431335449","1.8797167539596558","1.8797167539596558","1.8797167539596558"
"3","","","","0.9091203570365906","0.7648324966430664","1.1100428104400635","1.0057315826416016","0.8493641018867493","1.2218024730682373","1.1479189038276671","1.02182137966156","1.3302488327026367","1.2911016464233398","1.1587467193603516","1.3715500831604004","1.4407408237457275","1.3665523529052734","1.528236985206604","1.5818626165390015","1.4414350986480713","1.6344852447509766","1.7059978246688843","1.6570377349853516","1.747670292854309","1.830665385723114","1.7600610256195068","1.9220749139785767","1.9971941351890563","1.9446542263031006","2.0416102409362793","1.9239662170410157","1.8696361780166626","1.9671152830123901","1.9816686630249023","1.9330041408538818","2.04577374458313","1.9763021111488341","1.921727180480957","2.026954174041748","1.9598362565040588","1.9275315999984741","1.9871537685394287","1.9905643343925477","1.9432958364486694","2.07382869720459","1.9720036875117908","1.9160103797912598","2.0153415203094482","1.9804505109786987","1.9804505109786987","1.9804505109786987"
"4","","","","0.9313015818595887","0.8334242105484009","1.037580132484436","1.0313316464424134","0.9194213151931763","1.1360424757003784","1.1454972863197326","1.0535857677459717","1.2204917669296265","1.2625895261764526","1.147692084312439","1.325095534324646","1.414559817314148","1.337100863456726","1.4859503507614136","1.5802343964576722","1.5197575092315674","1.6364710330963135","1.733992576599121","1.693534255027771","1.7815552949905396","1.8524015307426454","1.8202061653137207","1.9071967601776123","1.9878249168395996","1.9566307067871094","2.023702383041382","1.9220118284225465","1.8872722387313843","1.9492833614349365","1.9762533187866211","1.9468098878860474","2.0097479820251465","1.9827632665634156","1.9343916177749634","2.010875940322876","1.9727550864219665","1.9248398542404175","2.0027873516082764","1.9984031438827514","1.9401623010635376","2.0266807079315186","1.9940123124556108","1.9526385068893433","2.028564929962158","1.9550235271453857","1.9550235271453857","1.9550235271453857"
"5","","","","0.9096883118152619","0.8042309284210205","1.0132633447647095","1.0157554566860199","0.9140574932098389","1.0804548263549805","1.1625652670860291","1.0593922138214111","1.2146505117416382","1.2730187892913818","1.1981135606765747","1.3389350175857544","1.4470045685768127","1.394261121749878","1.4826816320419312","1.59321186542511","1.5683950185775757","1.6242448091506958","1.7400502204895019","1.7002747058868408","1.7732224464416504","1.8547332167625428","1.8200230598449707","1.876270055770874","1.9868775486946106","1.9545713663101196","2.0393424034118652","1.9299727201461792","1.9139131307601929","1.9539809226989746","1.975838828086853","1.9574302434921265","1.9866013526916504","1.9875277519226073","1.9563173055648804","2.037397623062134","1.9663792967796325","1.9362926483154297","1.9880731105804443","1.9853599786758422","1.9488849639892578","2.0177102088928223","1.9734036488966509","1.9283355474472046","2.011347770690918","2.000802993774414","2.000802993774414","2.000802993774414"
"6","","","","0.9378279328346253","0.9087063670158386","0.9693806171417236","1.0280859053134919","0.9778285622596741","1.054406762123108","1.1481460094451905","1.0968034267425537","1.2077230215072632","1.2939984679222107","1.2149454355239868","1.347367286682129","1.453064250946045","1.4142589569091797","1.4865769147872925","1.5938873410224914","1.56610107421875","1.628886103630066","1.733974075317383","1.7060039043426514","1.7802276611328125","1.854551613330841","1.8286017179489136","1.9022730588912964","1.986221981048584","1.9646896123886108","2.033914089202881","1.934305226802826","1.9081687927246094","1.9674865007400513","1.9777674436569215","1.9518580436706543","2.0004067420959473","1.9802302956581115","1.9594695568084717","2.019925117492676","1.9625709533691407","1.9370959997177124","1.9862555265426636","1.9915283441543579","1.9792072772979736","2.015170097351074","1.9827759699387983","1.9537686109542847","2.001497507095337","1.9706312417984009","1.9706312417984009","1.9706312417984009"
"7","","","","0.9149481952190399","0.8602002263069153","0.969391405582428","1.0201965153217316","0.9484513401985168","1.0642610788345337","1.1447213172912598","1.1099721193313599","1.1881153583526611","1.2942493081092834","1.2608462572097778","1.3279929161071777","1.4334158420562744","1.4158308506011963","1.4483855962753296","1.5974079251289368","1.5634037256240845","1.6356933116912842","1.7406014442443847","1.7042587995529175","1.7737181186676025","1.8571285128593444","1.8275763988494873","1.8771851062774658","1.9941851854324342","1.9652695655822754","2.029829740524292","1.9334566593170166","1.9162527322769165","1.955216646194458","1.98129563331604","1.962734580039978","2.001945972442627","1.9853447437286378","1.9632765054702759","2.0147159099578857","1.9693233132362367","1.949904203414917","1.9877469539642334","1.9909046769142151","1.96781587600708","2.0127451419830322","1.9929136796431108","1.9775981903076172","2.008829355239868","1.9656132459640503","1.9656132459640503","1.9656132459640503"
"8","","","","0.9189821660518647","0.8341643214225769","0.971664309501648","1.0268382489681245","0.9740294218063354","1.081467628479004","1.1488449573516846","1.0715540647506714","1.1977232694625854","1.2940573811531066","1.2342724800109863","1.3212825059890747","1.4427382946014404","1.426444411277771","1.464038610458374","1.597340166568756","1.5707433223724365","1.6178377866744995","1.731105375289917","1.702135682106018","1.7604551315307617","1.857721495628357","1.8306208848953247","1.8888909816741943","1.9967730641365051","1.962848424911499","2.0308852195739746","1.9220483422279357","1.9137639999389648","1.9322532415390015","1.9902849435806274","1.978493094444275","2.0091359615325928","1.9941815376281737","1.9786381721496582","2.0169553756713867","1.9692795634269715","1.9471665620803833","1.9899520874023438","1.99999920129776","1.9913933277130127","2.0136260986328125","1.9870061874389648","1.9706687927246094","2.0052387714385986","1.9759701490402222","1.9759701490402222","1.9759701490402222"
"9","","","","0.9240051507949829","0.885747492313385","0.9472182989120483","1.0219071090221405","0.9842916131019592","1.0430988073349","1.1402720928192138","1.1039223670959473","1.174638032913208","1.2746105670928956","1.2452616691589355","1.3106969594955444","1.4425101399421691","1.4294883012771606","1.47467839717865","1.6012469291687013","1.563483476638794","1.6185357570648193","1.7364638805389405","1.722488284111023","1.7533283233642578","1.8564024806022643","1.8370636701583862","1.8846913576126099","1.9942116618156434","1.9837723970413208","2.014317035675049","1.9294185042381287","1.9053113460540771","1.9435292482376099","1.9851327538490295","1.967238426208496","2.016354560852051","1.9893079042434691","1.9759907722473145","2.0084736347198486","1.9709599494934082","1.95723557472229","1.979990839958191","2.0000363945961","1.989368200302124","2.015080451965332","1.9901075146415017","1.9637830257415771","2.001978874206543","1.9651786088943481","1.9651786088943481","1.9651786088943481"
